title,link,score,clean_title,sentiment_score,sentiment,topic
Apache ECharts (apache.org),https://echarts.apache.org/en/index.html,1062 points,apache echarts apacheorg,0.0,Neutral,1
PostgreSQL Full-Text Search: Fast When Done Right (Debunking the Slow Myth) (vectorchord.ai),https://blog.vectorchord.ai/postgresql-full-text-search-fast-when-done-right-debunking-the-slow-myth,177 points,postgresql fulltext search fast done right debunking slow myth vectorchordai,0.0,Neutral,0
Obituary for Cyc (yuxi-liu-wired.github.io),https://yuxi-liu-wired.github.io/essays/posts/cyc/,271 points,obituary cyc yuxiliuwiredgithubio,0.0,Neutral,2
Dockerfmt: A Dockerfile Formatter (github.com/reteps),https://github.com/reteps/dockerfmt,60 points,dockerfmt dockerfile formatter githubcomreteps,0.0,Neutral,3
Linux Kernel Defence Map – Security Hardening Concepts (github.com/a13xp0p0v),https://github.com/a13xp0p0v/linux-kernel-defence-map,46 points,linux kernel defence map security hardening concepts githubcoma13xp0p0v,0.4215,Positive,3
Show HN: DrawDB – open-source online database diagram editor (a retro) (drawdb.app),https://www.drawdb.app/,84 points,show hn drawdb opensource online database diagram editor retro drawdbapp,0.0,Neutral,1
The order of files in your ext4 filesystem does not matter (thewisenerd.com),https://thewisenerd.com/blog/ext4-readdir/,28 points,order files ext4 filesystem matter thewisenerdcom,-0.0191,Neutral,3
DIY experimental reactor harnesses the Birkeland-Eyde process (arduino.cc),https://blog.arduino.cc/2025/03/17/this-diy-experimental-reactor-harnesses-the-birkeland-eyde-process/,24 points,diy experimental reactor harnesses birkelandeyde process arduinocc,0.0,Neutral,0
Brazil's government-run payments system has become dominant (economist.com),https://www.economist.com/the-americas/2025/04/03/brazils-government-run-payments-system-has-become-dominant,504 points,brazils governmentrun payments system become dominant economistcom,0.0,Neutral,1
Tailscale has raised $160M (tailscale.com),https://tailscale.com/blog/series-c,495 points,tailscale raised 160m tailscalecom,0.0,Neutral,1
The Barium Experiment (sig7.se),https://tomscii.sig7.se/2025/04/The-Barium-Experiment,25 points,barium experiment sig7se,0.0,Neutral,0
A new way to make graphs more accessible to blind and low-vision readers (news.mit.edu),https://news.mit.edu/2025/making-graphs-more-accessible-blind-low-vision-readers-0325,8 points,new way make graphs accessible blind lowvision readers newsmitedu,-0.4522,Negative,3
How Netflix Accurately Attributes eBPF Flow Logs (netflixtechblog.com),https://netflixtechblog.com/how-netflix-accurately-attributes-ebpf-flow-logs-afe6d644a3bc,131 points,netflix accurately attributes ebpf flow logs netflixtechblogcom,0.0,Neutral,3
